10 5 1.400000e+000	3.200000e+000	4.600000e+000	7.800000e+000	1.240000e+001	
2.020000e+001	3.260000e+001	5.280000e+001	8.540000e+001	1.382000e+002	
2.236000e+002	3.618000e+002	5.854000e+002	9.472000e+002	1.532600e+003	
2.479800e+003	4.012400e+003	6.492200e+003	1.050460e+004	1.699680e+004	
2.750140e+004	4.449820e+004	7.199960e+004	1.164978e+005	1.884974e+005	
3.049952e+005	4.934926e+005	7.984878e+005	1.291980e+006	2.090468e+006	
3.382449e+006	5.472917e+006	8.855365e+006	1.432828e+007	2.318365e+007	
3.751193e+007	6.069558e+007	9.820751e+007	1.589031e+008	2.571106e+008	
4.160137e+008	6.731243e+008	1.089138e+009	1.762262e+009	2.851400e+009	
4.613662e+009	7.465063e+009	1.207872e+010	1.954379e+010	3.162251e+010	
